Country Code,TableName,GBD_super,Region,IncomeGroup,SpecialNotes
ABW,Aruba,,Latin America & Caribbean,High income,
AFG,Afghanistan,North Africa and Middle East,South Asia,Low income,
AGO,Angola,Sub-Saharan Africa,Sub-Saharan Africa,Lower middle income,
ALB,Albania,"Central Europe, Eastern Europe, and Central Asia",Europe & Central Asia,Upper middle income,
AND,Andorra,High income,Europe & Central Asia,High income,
ARB,Arab World,,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.
ARE,United Arab Emirates,North Africa and Middle East,Middle East & North Africa,High income,
ARG,Argentina,High income,Latin America & Caribbean,Upper middle income,
ARM,Armenia,"Central Europe, Eastern Europe, and Central Asia",Europe & Central Asia,Upper middle income,
ASM,American Samoa,"Southeast Asia, East Asia, and Oceania",East Asia & Pacific,Upper middle income,
ATG,Antigua and Barbuda,Latin America and Caribbean,Latin America & Caribbean,High income,
AUS,Australia,High income,East Asia & Pacific,High income,Fiscal year end: June 30; reporting period for national accounts data: FY.
AUT,Austria,High income,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
AZE,Azerbaijan,"Central Europe, Eastern Europe, and Central Asia",Europe & Central Asia,Upper middle income,
BDI,Burundi,Sub-Saharan Africa,Sub-Saharan Africa,Low income,
BEL,Belgium,High income,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
BEN,Benin,Sub-Saharan Africa,Sub-Saharan Africa,Lower middle income,
BFA,Burkina Faso,Sub-Saharan Africa,Sub-Saharan Africa,Low income,
BGD,Bangladesh,South Asia,South Asia,Lower middle income,Fiscal year end: June 30; reporting period for national accounts data: FY.
BGR,Bulgaria,"Central Europe, Eastern Europe, and Central Asia",Europe & Central Asia,Upper middle income,
BHR,Bahrain,North Africa and Middle East,Middle East & North Africa,High income,
BHS,"Bahamas, The",Latin America and Caribbean,Latin America & Caribbean,High income,
BIH,Bosnia and Herzegovina,"Central Europe, Eastern Europe, and Central Asia",Europe & Central Asia,Upper middle income,
BLR,Belarus,"Central Europe, Eastern Europe, and Central Asia",Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)"
BLZ,Belize,Latin America and Caribbean,Latin America & Caribbean,Upper middle income,
BMU,Bermuda,Latin America and Caribbean,North America,High income,
