Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.84718968,43.35834626,42.92574478,42.48875562,41.95013326,41.29009763,40.68959543,39.90009474,39.0110643,38.13472738,37.31608621,36.08681023,35.01504011,33.98901117,32.86908538,31.57755906,30.87842076,29.90756386,28.73400662,27.54251417,26.51424388,25.82924695,25.31420654,25.00120577,24.78515501,24.52797258,24.8627163,24.97695405,24.85305915,24.64117184,24.54745853,24.08467704,23.80449916,23.68558976,23.59843546,23.4201484,23.5625,23.58310611,23.49072493,23.34812651,23.17920157,22.91868501,22.62295772,22.27753899,21.88237439,21.47334326,21.22399191,21.08039754,21.00574202,20.9491893,20.87361929,20.53093703,20.09262871,19.59305538,19.11172355,18.70309849,18.25749485,17.98018336,17.80244697,17.6204451,
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.14085115,42.45394197,42.63735397,42.74880399,42.8547445,42.98180452,43.32602511,43.63225277,43.90513622,44.13678049,44.32524328,44.6714964,44.93724353,45.13806839,45.27967163,45.35050389,45.62518403,45.86663616,46.06429647,46.1837308,46.17974709,46.46488719,46.72046511,46.95762311,47.22076463,47.57596785,47.73805001,47.78474517,47.80198494,47.92694372,48.30821955,48.21736073,48.13079189,48.08823361,48.02023363,47.81874009,48.07155852,48.3366849,48.55480851,48.72729173,48.89337334,48.8226633,48.64540456,48.4139118,48.15413988,47.85964149,47.98974193,48.12623263,48.22715133,48.25041109,48.17814541,47.70159044,47.08975945,46.38667074,45.64058919,44.87703888,44.27211325,43.682526,43.09017551,42.47227139,
Angola,AGO,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.13206652,42.79076166,43.49656836,44.09019311,44.41917098,44.46482756,44.54291088,44.42691449,44.38975184,44.67347112,45.31191191,45.40025232,45.69569078,46.038687,46.22168847,46.17676538,46.49227029,46.43950179,46.21251961,46.06747499,46.1091685,46.27082908,46.59858482,46.98599799,47.27255632,47.39226482,47.62916794,47.7109713,47.68626813,47.62661028,47.56257097,47.66667638,47.71574907,47.71845214,47.67436771,47.58364989,47.60024135,47.5602038,47.47283474,47.34893822,47.19983376,47.18395813,47.12711045,47.04524393,46.9589397,46.88402078,46.94683115,46.99038232,47.02225342,47.04097368,47.04161362,47.14453499,47.19601946,47.20542505,47.17715931,47.10897115,47.05335243,46.9530163,46.80892471,46.62202503,
Albania,ALB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,40.15573715,40.54175247,40.90083018,41.21300835,41.43349493,41.53327944,41.64311054,41.60100864,41.43733439,41.19912617,40.91222096,40.54411315,40.18307442,39.79603606,39.3373709,38.79614319,38.31064961,37.72861632,37.10313466,36.50874118,35.98157074,35.50002813,35.08037738,34.70892002,34.36552646,34.04716076,33.77432321,33.54513785,33.33682185,33.09766186,32.77468273,32.89423987,32.94000467,32.90277069,32.82249368,32.74220864,32.2186078,31.75034648,31.31451559,30.85643596,30.33369412,29.66804528,28.9329781,28.14017087,27.3232048,26.50088603,25.57204146,24.71715538,23.91561799,23.1605746,22.45508261,21.47130771,20.60059106,19.85625682,19.22028239,18.66872766,18.38369645,18.02831249,17.67287372,17.3995641,
Andorra,AND,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.27685079,43.64203415,43.96478381,44.23382732,44.42678092,44.53512716,44.74899045,44.84804847,44.86664218,44.84088972,44.78537824,44.84625922,44.84353011,44.79458654,44.71926364,44.63399909,44.58820727,44.52277894,44.44014848,44.33456787,44.20144023,44.12242361,44.0094124,43.86890117,43.70845577,43.53111396,43.4470813,43.32052026,43.16238463,42.97216252,42.79161752,42.51386873,42.26896822,41.89144071,41.46198187,40.92151704,40.46540719,39.98406622,39.4880941,38.98508848,38.47488079,37.94144165,37.40026665,36.8613406,36.33806226,35.84092962,35.34765337,34.88789669,34.47493019,34.11928081,33.82426413,33.57609609,33.38532371,33.23987592,33.11348086,32.98490177,32.96598512,32.88881269,32.7804361,32.66945631,
United Arab Emirates,ARE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,44.56274752,43.39953966,42.08423268,40.76400543,39.50115547,38.3345456,37.2093314,36.27180143,35.55498366,35.05607909,34.79834893,32.4394261,30.50813659,29.1474923,28.38415149,28.14986659,27.44301027,27.09765769,27.20931457,27.61806023,28.11255222,28.84297973,29.60458651,30.42193512,31.24884561,32.00911457,32.17072968,32.10697369,31.88512328,31.53369597,31.06470462,30.30777641,29.55071653,28.79760568,28.04947731,27.3333913,26.95825256,26.55023917,26.28474051,26.16001705,26.04329461,23.89455476,22.00704443,20.45568184,19.24484524,18.34127577,16.54157014,15.18916529,14.27778907,13.65804209,13.15629917,13.42409674,13.58200472,13.72999953,13.92809448,14.16389036,14.38551306,14.50442243,14.60350937,14.71261177,
Argentina,ARG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,31.05012509,30.95312324,30.80257166,30.61328093,30.40864078,30.20211059,30.04326703,29.87876447,29.71686229,29.56732723,29.43884777,29.38049044,29.34739643,29.33978191,29.36137903,29.41680157,29.58131873,29.79393279,30.02884922,30.24454556,30.4162475,30.68159006,30.80938447,30.85717482,30.90155114,30.97167921,30.90531003,30.93319211,30.97977138,30.94317387,30.78601258,30.67911364,30.45234789,30.15335157,29.85765466,29.5986295,29.35688931,29.12564728,28.90575194,28.68662753,28.4621942,28.19793736,27.97135292,27.75956375,27.53323732,27.28001137,27.06570125,26.80488843,26.52233175,26.25896961,26.03595845,25.82226982,25.6518566,25.50996622,25.36812949,25.21116453,25.07945581,24.92677038,24.76093384,24.59552588,
Armenia,ARM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,38.65481471,39.78290923,40.66088222,41.29380461,41.70086634,41.87799228,41.78852337,41.43319281,40.85500114,40.13519681,39.33763368,38.22490791,37.2223811,36.27746531,35.30299075,34.27051154,33.41659806,32.47386634,31.55423486,30.80230979,30.27017628,29.9319017,29.80521898,29.81916541,29.86414349,29.88462023,29.9239387,29.96798618,30.02363425,30.06907445,30.04382773,30.02677692,29.9338013,29.76220211,29.53006502,29.25729514,28.7169361,28.09939328,27.40214759,26.63137394,25.8110934,24.80887092,23.87710128,23.01310964,22.20817004,21.4614649,20.92784826,20.40814726,19.94735897,19.61821161,19.46068545,19.43982662,19.5090967,19.66508006,19.86774522,20.08003273,20.26021893,20.45438878,20.63342192,20.76595201,
American Samoa,ASM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
